2021-06-21 08:37:03,698 p=5876 u=root n=ansible | TASK [Enable remote login to mysql svc] ***************************************************************************************************************************
2021-06-21 08:37:04,138 p=5876 u=root n=ansible | changed: [db01]
2021-06-21 08:37:04,148 p=5876 u=root n=ansible | RUNNING HANDLER [Restart mysql] ***********************************************************************************************************************************
2021-06-21 08:37:06,962 p=5876 u=root n=ansible | changed: [db01]
2021-06-21 08:37:06,973 p=5876 u=root n=ansible | PLAY [Deploy SQL file on accounts db] *****************************************************************************************************************************
2021-06-21 08:37:06,985 p=5876 u=root n=ansible | TASK [Copy SQL to dbsrv] ******************************************************************************************************************************************
2021-06-21 08:37:07,670 p=5876 u=root n=ansible | changed: [db01]
2021-06-21 08:37:07,680 p=5876 u=root n=ansible | TASK [Restoring DB] ***********************************************************************************************************************************************
2021-06-21 08:37:08,161 p=5876 u=root n=ansible | changed: [db01]
2021-06-21 08:37:08,171 p=5876 u=root n=ansible | RUNNING HANDLER [Restart mysql] ***********************************************************************************************************************************
2021-06-21 08:37:10,387 p=5876 u=root n=ansible | changed: [db01]
2021-06-21 08:37:10,398 p=5876 u=root n=ansible | PLAY [Install Memcache, Start & enable SVC] ***********************************************************************************************************************
2021-06-21 08:37:10,411 p=5876 u=root n=ansible | TASK [Install Memcache] *******************************************************************************************************************************************
2021-06-21 08:37:27,692 p=5876 u=root n=ansible | changed: [mc01]
2021-06-21 08:37:27,701 p=5876 u=root n=ansible | TASK [Start & Enable Memcache] ************************************************************************************************************************************
2021-06-21 08:37:28,132 p=5876 u=root n=ansible | ok: [mc01]
2021-06-21 08:37:28,141 p=5876 u=root n=ansible | TASK [Enable remote login to memecache] ***************************************************************************************************************************
2021-06-21 08:37:28,440 p=5876 u=root n=ansible | changed: [mc01]
2021-06-21 08:37:28,448 p=5876 u=root n=ansible | RUNNING HANDLER [Restart memcached] *******************************************************************************************************************************
2021-06-21 08:37:28,930 p=5876 u=root n=ansible | changed: [mc01]
2021-06-21 08:37:28,941 p=5876 u=root n=ansible | PLAY [Install & Setup RabbitMQ with user] *************************************************************************************************************************
2021-06-21 08:37:28,954 p=5876 u=root n=ansible | TASK [Install Erlang Repository Package] **************************************************************************************************************************
